O*NET-SOC Code,Artistic,Conventional,Enterprising,Investigative,Realistic,Social
29-1071.00,2.0,2.67,1.67,6.33,4.0,6.33
29-1071.01,1.0,2.67,2.67,4.67,5.33,5.0
29-1081.00,2.0,2.0,2.67,7.0,4.33,6.0
29-1122.00,3.33,3.67,3.0,4.33,3.0,7.0
29-1122.01,3.0,2.67,3.0,4.67,4.33,7.0
29-1123.00,2.33,3.0,2.67,5.67,4.33,7.0
29-1124.00,1.0,5.0,1.67,3.67,5.33,5.67
29-1125.00,4.67,2.33,3.33,3.67,1.67,7.0
29-1126.00,1.33,2.67,2.33,5.0,4.33,6.67
29-1127.00,4.33,2.33,2.0,6.0,1.67,6.67
29-1128.00,3.67,2.67,3.33,5.33,4.0,6.33
29-1129.01,6.67,2.67,1.67,4.0,1.33,7.0
29-1129.02,6.33,2.0,1.67,4.33,1.33,6.33
29-1131.00,2.0,2.67,1.67,7.0,5.67,3.67
29-1141.00,1.67,4.67,2.0,5.67,3.67,7.0
29-1141.01,2.0,1.67,2.33,5.33,4.33,7.0
29-1141.02,3.67,2.33,2.0,6.0,2.33,6.67
29-1141.03,2.67,2.67,3.0,4.33,4.0,6.67
29-1141.04,1.0,4.33,6.67,4.0,2.0,5.67
29-1151.00,1.67,2.67,1.33,6.67,5.0,4.33
29-1161.00,2.33,1.33,3.0,4.0,3.33,7.0
29-1171.00,2.67,2.67,2.33,6.0,4.33,6.33
29-1181.00,2.33,3.67,1.67,6.67,2.67,6.33
29-1211.00,2.0,2.67,2.67,5.33,5.0,5.0
29-1213.00,2.33,1.67,2.0,7.0,4.33,6.0
29-1215.00,2.0,2.67,2.67,6.67,4.0,6.0
29-1216.00,2.0,2.67,3.67,6.67,4.33,5.33
29-1217.00,2.33,2.0,3.0,7.0,4.33,5.67
29-1218.00,2.0,2.0,3.67,7.0,5.0,6.0
29-1221.00,2.67,3.0,2.33,7.0,3.33,6.0
29-1222.00,1.67,3.33,1.0,6.67,4.33,3.0
29-1223.00,4.33,2.67,2.0,7.0,2.0,5.67
29-1224.00,1.67,3.0,1.0,6.67,6.0,4.67
29-1229.01,3.0,1.67,1.33,7.0,4.67,5.67
29-1229.02,1.67,2.33,3.0,5.0,3.67,6.33
29-1229.03,2.33,2.33,2.67,7.0,4.67,5.33
29-1229.04,3.0,2.0,1.67,7.0,4.0,5.67
29-1229.05,2.67,1.67,2.33,6.33,4.33,6.67
29-1229.06,2.33,2.0,1.33,6.67,4.67,6.0
29-1241.00,2.0,3.0,2.33,7.0,5.0,5.33
29-1291.00,2.33,1.67,2.0,5.0,5.33,6.0
29-1292.00,1.0,3.67,2.0,3.0,5.67,6.0
29-1299.01,4.0,1.67,1.67,6.67,3.33,6.33
29-1299.02,1.67,1.67,2.67,6.33,4.33,5.33
29-2011.00,1.67,4.67,2.67,7.0,5.67,2.0
29-2011.01,2.33,4.33,2.0,6.33,5.33,2.33
29-2011.02,1.67,3.33,1.67,6.67,5.0,1.67
29-2012.00,1.67,4.33,1.67,5.67,5.67,4.0
29-2031.00,1.33,3.67,2.33,5.33,5.33,5.33
29-2032.00,1.67,3.33,2.67,6.0,5.33,5.67
29-2033.00,1.33,3.67,1.67,6.33,6.0,4.0
29-2034.00,1.33,3.5,3.0,3.33,6.5,4.33
29-2035.00,1.67,4.33,2.33,3.33,5.0,3.67
29-2051.00,1.67,2.33,2.67,4.33,4.0,6.33
29-2052.00,1.0,7.0,2.67,3.0,5.0,3.67
29-2053.00,1.67,2.67,3.67,3.0,3.67,6.67
29-2055.00,1.0,4.0,2.33,2.33,6.0,5.0
29-2056.00,1.67,3.67,2.33,6.0,7.0,3.0
29-2057.00,1.33,5.0,2.33,2.67,3.67,4.33
29-2061.00,1.33,3.67,2.33,3.33,5.0,7.0
29-2081.00,1.67,5.33,6.33,1.67,4.33,4.33
29-2091.00,2.33,2.0,2.0,4.67,5.0,7.0
29-2092.00,1.67,2.67,3.0,6.0,4.0,6.0
29-2099.01,1.33,3.67,2.67,5.0,6.33,3.33
29-2099.05,1.33,4.33,3.67,4.0,4.0,3.33
29-2099.08,1.67,2.0,3.67,2.33,1.0,6.67
29-9091.00,2.0,1.67,3.0,4.33,5.33,6.67
29-9092.00,4.0,2.67,2.33,6.33,1.0,6.67
